"city","state","median_home_value"
"Port Arthur","TX","119805"
"Palm Desert","CA","554373"
"Crossville","TN","304997"
"Chicopee","MA","311123"
"Coatesville","PA","384165"
"Wayne","NJ","742643"
"Tamiami","FL","610318"
"Fort Walton Beach","FL","324007"
"Brookhaven","GA","741429"
"North Fort Myers","FL","265914"
"Spanaway","WA","509734"
"Crestview","FL","289578"
"Delano","CA","335057"
"Perth Amboy","NJ","495686"
"Zephyrhills","FL","304732"
"Newburgh","NY","392141"
"Kentwood","MI","331531"
"Longwood","FL","455599"
"Collierville","TN","509893"
"Mankato","MN","304131"
"Williamsville","NY","410876"
"Nacogdoches","TX","217078"
"Minot","ND","272695"
"Rocky Mount","NC","185887"
"Bonney Lake","WA","676348"
"Glendora","CA","893350"
"New Bern","NC","281328"
"Rowlett","TX","371473"
"Oak Park","IL","458455"
"San Jacinto","CA","482811"
"Marion","OH","165587"
"Grand Blanc","MI","285257"
"Mililani","HI","882074"
"Hacienda Heights","CA","959845"
"Findlay","OH","240719"
"Millcreek","UT","638139"
"Morganton","NC","261445"
"Seminole","FL","380864"
